SIgn and Symptom,UMLS CUI,Synonym
Abdomen distended,C0000731,"Distended abdomen, distended abdomen, abdomen distended, Abdominal distention, ABDOMINAL DISTENTION, Abdominal Distention, abdominal distention, ABDOMINAL DISTENSION, Abdominal distension, abdominal distension, Bloating, Swollen abdomen, SWOLLEN ABDOMEN, swollen abdomen, SWELLING ABDOMEN, swelling of abdomen, Swelling of abdomen, Swelling abdomen, ABDOMEN SWELLING, Swollen;abdomen, abdomen; swelling, swelling; abdomen, Abdominal bloating, Abdominal Bloating, Abdominal swelling, abdominal swelling, Abdominal swelling, NOS, abdominal swellings, [D]Abdominal swelling, Change in abd size/distension, Change in abdominal size/distension, Swelling abd, Distension;abdomen, ABDOMEN DISTENSION, ABDOMEN DISTENTION, Abdomen Distention, Belly bloating, Swollen abdomen (finding), [D]Abdominal swelling (context-dependent category), Abdominal swelling (disorder), Abdominal distension (finding), swelling; intra-abdominal, intra-abdominal; swelling, [D]Abdominal swelling (situation), abdominal swelling (symptom), abdominal distention (physical finding)"
Abdominal Pain,C0000737,"PAIN ABDOMINAL, Pain abdominal, Pain;abdominal, pain; abdominal, ABDOMINAL PAIN, Abdominal pain, abdominal pain, abdominal; pain, Abdominal Pains, ABDOMINAL PAIN NOS, Pains, Abdominal, Abdominal pain NOS, abdominal pains, Pain, Abdominal, Stomach pain, Pain in stomach, Abdominal pain, unspecified site, [D]Abdominal pain, [D]Abdominal pain NOS, AP - Abdominal pain, Abd. pain, Abdo pain, Pain abdo, Gut pain, gut pain, abdomen pain, ABDOMEN PAIN, [D]Abdominal pain NOS (context-dependent category), [D]Abdominal pain (context-dependent category), Abdominal pain (finding), abdominalgia, [D]Abdominal pain (situation), [D]Abdominal pain NOS (situation), Abdmnal pain unspcf site, abdominal pain (symptom), Bellyache, Unspecified abdominal pain"
Acute bronchiolitis,C0001311,"Bronchiolitis (acute), bronchiolitis acute, Bronchiolitis;acute, bronchiolitis; acute, Acute Bronchiolitis, acute bronchiolitis, acute; bronchiolitis, Acute bronchiolitis, NOS, Acute bronchiolitis NOS, Capillary pneumonia, Acute capillary bronchiolitis, Acute bronchiolitis, unspecified, Acute capillary bronchiolitis (disorder), Acute bronchiolitis (disorder), Acute bronchiolitis NOS (disorder)"
Anorexia,C0003123,"ANOREXIA, anorexia, Anorexias, Anorexia NOS, Anorectic, anorectic, APPETITE ABSENT, Anorexic, anorexic, APPETITE IMPAIRED, APPETITE LOST, lost appetite, Loss of appetite, loss of appetite, appetite loss, no appetite, lack of appetite, anorexia (loss of appetite), [D]Anorexia, [D]Anorexia NOS, [D]Anorexia NOS (context-dependent category), [D]Anorexia (context-dependent category), [D]Anorexia (situation), [D]Anorexia NOS (situation)"
Anosmia,C0003126,"ANOSMIA, anosmia, anosmias, sense smell, smell sense, Sense of smell absent, Absent sense of smell, Sense of smell, absent, Absent smell, Smell, absent, Loss of sense of smell, loss of sense of smell, Loss of the sense of smell, loss sense smell, [D]Anosmia, Sense of smell lost, lost sense of smell, sense of smell lost, No sense of smell, no sense of smell, Smell loss, loss smell, loss; smell, smell loss, SMELL LOSS, smell; loss, Loss of smell, Loss (of);smell, loss of smell, anosphrasia, Lost smell, [D]Anosmia (context-dependent category), Anosmia (loss of sense of smell), Anosmia - loss of smell sense, Loss of sense of smell (finding), smell; loss, complete (anosmia), loss; smell, complete (anosmia), [D]Anosmia (situation), loss of sense of smell (symptom), anosmia as symptom, sense of smell lost (anosmia), anosmia (diagnosis)"
Arthralgia,C0003862,"ARTHRALGIA, arthralgia, ARTHRALGIAS, Arthralgias, Arthralgia NOS, arthralgias, Joint pain-unspec, Joint Pain, PAIN JOINT, Pain joint, JOINT PAIN, Joint pain, joint pain, Pain in joint, JOINT PAINS, Joint Pains, Pains, Joint, Pain in joints, joints pain, Pain;joint(s), Joint pains, Pain, Joint, Aching joints, aching joints, JOINT ACHE, Ache in joint, aching joint, joint ache, Joint ache, Arthritic-like pain, ARTHRITIC-LIKE PAIN, Painful joint, painful joint, painful joints, Painful joints, Pain in joint, site unspecified, Articular pain, articular pain, arthralgia (diagnosis), Discomfort in joints, Pain in a joint, site unspecified, Joint: [pain - arthralgia] or [ache], Arthralgia NOS (finding), Pain in joint - arthralgia, Joint pain (finding), Arthrodynia, arthrodynia, diffuse joint pains, diffuse arthralgia, diffuse joint pains (symptom), Joint: [pain - arthralgia] or [ache] (disorder)"
Chest Pain,C0008031,"PAIN CHEST, Pain chest, Pain;chest, pain; chest, CHEST PAIN, Chest pain, chest pain, chest; pain, Chest Pains, Chest pain, NOS, Pains, Chest, Chest pain NOS, Pain In Chest, Chest pain nos, Pain in chest, Pain, Chest, Unspecified chest pain, Chest pain, unspecified, Thoracic pain, pain thoracic, THORACIC PAIN, thoracic pain, [D]Chest pain, [D]Chest pain NOS, [D]Chest pain, unspecified, Thorax painful, reported chest pain, chest pain or discomfort reported as pain (symptom), Thorax pain, pain; thorax, thorax pain, thorax; pain, Nonspecific chest pain, [D]Chest pain NOS (context-dependent category), [D]Chest pain (context-dependent category), [D]Chest pain, unspecified (context-dependent category), Chest pain (finding), Chest pain NOS (finding), [D]Chest pain (situation), [D]Chest pain NOS (situation), [D]Chest pain, unspecified (situation), Thoracalgia, thoracalgia, chest pain or discomfort, chest pain (diagnosis), chest pain or discomfort (symptom), chest pain or discomfort reported as pain, thoracodynia"
Confusion,C0009676,"CONFUSION, confusion, Confusion NOS, bewilderment, Mental confusion, Confusion (Mental), confusion; mental, Mental Confusion, mental confusion, Confusional State, state; confusional, CONFUSIONAL STATE, Confusional state, confusional state, confusional; state, confusional states, Confusional States, States, Confusional, State, Confusional, Disorientation, disorientation, Confusion state, CONFUSION STATE, Dazed state, Confused, confused, Dazed, dazed, daze, dazing, Muddled, [D]Confusion, Confusional state (diagnosis), delirium confusional state, Confusion and disorientation, confusion and disorientation, confusion disorientation, disorientation confusion, Disorientation/Confusion, Confusion/Disorientation, Easily confused, Mental disorientation, Feeling dazed, [D]Confusion (context-dependent category), Confused (finding), Confusional state (disorder), [D]Confusion (situation), confusion (symptom), confusion (physical finding), cognitive functions confusion, confusion was observed, rndx confusion, rndx confusion (diagnosis)"
Coughing,C0010200,"COUGHING, coughing, Cough, Coughs, COUGH, COUGHS, Cough, NOS, cough, coughs, [D]Cough, C/O - cough, cough (symptom), Cough symptom, Cough symptom NOS, cough symptoms, cough symptom, coughing symptom, Coughing - function, Observation of cough, 241 COUGHS, C/O - cough (context-dependent category), [D]Cough (context-dependent category), Cough (finding), Finding of cough, Finding of cough (finding), Cough symptom NOS (finding), Coughing - function (qualifier value), Coughing (observable entity), Complaining of cough (finding), [D]Cough (situation), Complaining of cough"
Deglutition Disorders,C0011168,"deglutition disorders, Deglutition disorders, DEGLUTITION DISORDER, DISORDER DEGLUTITION, Deglutition Disorder, deglutition disorder, Deglutition disorder, Disorder deglutition, Disorders, Deglutition, Dysphagia, DYSPHAGIA, dysphagia, Dysphagia, NOS, Dysphagia NOS, dysphagias, Swallowing difficult, difficult swallowing, difficult; swallowing, SWALLOWING DIFFICULT, swallowing; difficult, Difficulty swallowing, SWALLOWING DIFFICULTY, swallowing difficulty, Swallowing difficulty, Difficulty Swallowing, difficulty swallowing, Difficulty in swallowing, difficulty in swallowing, Difficulties swallowing, Difficulty;swallowing, Swallowing difficulties, Difficulty in swallowing NOS, Can't get food down, [D]Difficulty in swallowing, [D]Dysphagia, [D]Dysphagia NOS, Swallowing Disorders, SWALLOWING DISORDER, Swallowing disorder, swallowing disorder, Swallowing Disorder, Cannot get food down, [D]Difficulty in swallowing (context-dependent category), [D]Dysphagia NOS (context-dependent category), [D]Dysphagia (context-dependent category), Difficulty swallowing (finding), Dysphagia (disorder), Swallowing difficulties (dysphagia), difficulty swallowing (dysphagia), [D]Difficulty in swallowing (situation), [D]Dysphagia (situation), [D]Dysphagia NOS (situation), DEGLUTITION DIS, Poor swallowing, SWALLOWING DIS, Dysphagia, unspecified, difficulty swallowing (symptom), dysphagia (diagnosis)"
Diarrhea,C0011991,"DIARRHEA, diarrhea, Diarrheas, DIARRHOEA, Diarrhea, NOS, Diarrhoea, diarrheas, Diarrhea NOS, Diarrhoea NOS, diarrhoea, The runs, Loose stools, STOOLS LOOSE, LOOSE STOOLS, Loose Stools, Watery stool, watery stool, watery stools, Loose bowel movement, loose bowel movement, bowel loose movements, bowels loose movement, D - Diarrhea, D - Diarrhoea, Diarrhea symptom, diarrhea (symptom), Diarrhea symptom NOS, Diarrhea symptoms, Diarrhoea symptom NOS, Diarrhoea symptoms, diarrhea symptoms, diarrhoea symptoms, symptoms diarrhea, Diarrhoea symptom, Loose bowel motions, loose bowel motion, Observation of diarrhea, Observation of diarrhoea, runs(diarrhoea), Runs(diarrhoea), diarrhea running, Runs(diarrhea), runs(diarrhea), Frequent Stools, Diarrhea symptoms (context-dependent category), Diarrhea symptom NOS (context-dependent category), Diarrhea (finding), Finding of diarrhea, Finding of diarrhoea, Diarrhoea (finding), Finding of diarrhea (finding), Diarrhea symptom (finding), Diarrhea symptom NOS (finding), Diarrhea symptoms (finding), Diarrhoea symptoms (finding), Diarrhoea (disorder), The trots, Diarrhea, unspecified, rndx diarrhea (diagnosis), rndx diarrhea"
Dysgeusia,C0013378,"DYSGEUSIA, dysgeusia, Dysgeusias, dysgeusias, Disordered taste, disorder; taste, taste; disorder, Taste perversion, TASTE PERVERSION, taste perversion, TASTE PERVERSION OF, Taste perversion of, Gustatory alteration, Gustatory Alteration, Taste alteration, TASTE ALTERATION, taste alteration, alterations taste, Alteration in taste, taste impairment, TASTE IMPAIRMENT, Parageusia, PARAGEUSIA, parageusia, Things taste abnormal, Taste sense altered, [D]Parageusia, Things taste different, Taste, Distorted, Distorted taste, distort taste, Distorted Taste, Things taste peculiar, Perversion of sense of taste, Dysgensia, DYSGENSIA, Sensory perceptual alteration: gustatory, parageusia (diagnosis), Impaired Sense Of Taste, Taste abnormality, taste abnormality, abnormalities taste, Taste changed, Taste changes, Taste disturbance, Disturbance;taste, taste disturbance, disturbances taste, disturbance of taste, taste disturbances, Adverse taste perception, Taste sense altered (finding), [D]Parageusia (context-dependent category), [D]Parageusia (situation), disturbance of taste (diagnosis), taste disturbances (symptom), rndx gustatory alteration (diagnosis), rndx gustatory alteration"
